performance_metric_3,unit_serial_number,process_end_date
19.32,Unit_581,2022-01-19 16:31
19.152,Unit_582,2022-01-19 3:09
18.689999999999998,Unit_583,2022-01-17 18:05
18.942,Unit_584,2022-01-19 22:19
19.404,Unit_585,2022-01-19 22:27
18.144000000000002,Unit_586,2022-01-19 14:03
18.984,Unit_587,2022-01-19 21:17
19.194,Unit_588,2022-01-19 22:54
19.235999999999997,Unit_589,2022-01-19 22:48
19.235999999999997,Unit_590,2022-01-18 6:07
18.857999999999997,Unit_591,2022-01-18 6:17
18.522,Unit_592,2022-01-18 6:16
18.438,Unit_593,2022-01-18 7:12
18.732,Unit_594,2022-01-18 6:14
18.522,Unit_595,2022-01-18 10:29
18.438,Unit_596,2022-01-20 3:14
18.857999999999997,Unit_597,2022-01-20 0:30
19.026,Unit_598,2022-01-20 6:43
18.942,Unit_599,2022-01-20 6:07
18.689999999999998,Unit_600,2022-01-20 7:01
18.48,Unit_601,2022-01-18 22:29
19.067999999999998,Unit_602,2022-01-19 22:45
18.522,Unit_603,2022-01-20 1:18
18.564,Unit_604,2022-01-20 18:42
19.152,Unit_605,2022-01-20 18:45
18.732,Unit_606,2022-01-20 5:25
18.732,Unit_607,2022-01-21 20:19
19.362,Unit_608,2022-01-22 10:51
18.564,Unit_609,2022-01-24 13:05
19.194,Unit_610,2022-02-01 20:35
18.648,Unit_611,2022-02-01 19:24
19.362,Unit_612,2022-02-04 12:46
19.067999999999998,Unit_613,2022-02-02 6:10
18.9,Unit_614,2022-02-02 5:47
18.9,Unit_615,2022-02-02 5:49
19.235999999999997,Unit_616,2022-02-08 10:55
18.774,Unit_617,2022-02-04 11:24
19.32,Unit_618,2022-02-04 11:30
18.395999999999997,Unit_619,2022-02-08 6:45
18.857999999999997,Unit_620,2022-02-08 8:10
18.564,Unit_621,2022-02-08 9:36
18.564,Unit_622,2022-02-08 6:00
18.605999999999998,Unit_623,2022-02-08 7:15
19.32,Unit_624,2022-02-08 13:21
19.026,Unit_625,2022-02-08 10:18
18.522,Unit_626,2022-02-02 5:11
18.857999999999997,Unit_627,2022-02-02 2:40
18.984,Unit_628,2022-02-04 4:44
19.067999999999998,Unit_629,2022-02-04 9:59
